title,price_gbp,rating,category_id
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,1
A Year in Provence (Provence #1),56.88,4,1
"1,000 Places to See Before You Die",26.08,5,1
Sharp Objects,47.82,4,2
The Past Never Ends,56.5,4,2
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,2
A Time of Torment (Charlie Parker #14),48.35,5,2
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,2
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,2
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,2
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,2
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,2
The Silkworm (Cormoran Strike #2),23.05,5,2
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,2
The Girl You Lost,12.29,5,2
A Flight of Arrows (The Pathfinders #2),55.53,5,3
Mrs. Houdini,30.25,5,3
The Marriage of Opposites,28.08,4,3
A Paris Apartment,39.01,4,3
World Without End (The Pillars of the Earth #2),32.97,4,3
The Passion of Dolssa,28.32,5,3
Voyager (Outlander #3),21.07,5,3
The Red Tent,35.66,5,3
Between Shades of Gray,20.79,5,3
While You Were Mine,41.32,5,3
Lost Among the Living,27.7,4,3
A Spy's Devotion (The Regency Spies of London #1),16.97,5,3
